window,window_end,outcome_matured_at,n_rows,n_defaults,observed_rate,expected_rate,observed_over_expected,auc,gini,ks,brier,brier_reliability,evaluated,reason
2007Q2,2007-06-30,2008-06-30,25550,228,0.008923679060665362,0.005769270203312494,1.54676046470171,0.8347099879863152,0.6694199759726305,0.5082751701938679,0.008467146641678022,0.00002203143925367797,true,""
2007Q3,2007-09-30,2008-09-30,26464,278,0.01050483675937122,0.006334755737990313,1.6582860008906761,0.84511370511015,0.6902274102203001,0.5070854490317469,0.009731123447142297,0.000052080622285066896,true,""
2007Q4,2007-12-31,2008-12-31,27449,374,0.013625268680097636,0.006539094092140427,2.0836630407986236,0.8383594787701029,0.6767189575402057,0.49665298907273814,0.012435509659044807,0.00012978899054985821,true,""
2008Q1,2008-03-31,2009-03-31,28124,510,0.018133978096999005,0.00626024887128283,2.896686452863502,0.8214072642890718,0.6428145285781437,0.4647195156761916,0.01636400142766587,0.00036031759225800016,true,""
2008Q2,2008-06-30,2009-06-30,29120,648,0.022252747252747253,0.0065515661042735065,3.3965538771305472,0.8062612250198592,0.6125224500397184,0.45605168950912145,0.020517106152323078,0.0005220638062649012,true,""
2008Q3,2008-09-30,2009-09-30,30034,774,0.025770793101152028,0.0067935117845251206,3.7934420250591288,0.8156882913767859,0.6313765827535718,0.4648597356675692,0.023549097381909495,0.0008340190738294821,true,""
2008Q4,2008-12-31,2009-12-31,30800,912,0.02961038961038961,0.007444219787693687,3.977635058456983,0.8120928513233029,0.6241857026466058,0.45515832206318796,0.02662257348323958,0.0011031869986261314,true,""
2009Q1,2009-03-31,2010-03-31,30456,964,0.031652219595482006,0.006700727611677128,4.723698892090878,0.8070157256233211,0.6140314512466423,0.4495881293921468,0.0288236888643179,0.001431082645842184,true,""
2009Q2,2009-06-30,2010-06-30,29813,933,0.03129507261932714,0.007351529995443108,4.256946872110375,0.8098283023517501,0.6196566047035001,0.4476491406210568,0.02823414972493667,0.0012991709206071368,true,""
2009Q3,2009-09-30,2010-09-30,30087,871,0.028949380130953568,0.007914514467113186,3.6577581924002516,0.8283288343332625,0.6566576686665251,0.4704152954580036,0.025750106903309953,0.0011692505246940843,true,""
2009Q4,2009-12-31,2010-12-31,30074,766,0.025470506084990355,0.007584000855993412,3.3584524275022685,0.8328664795717831,0.6657329591435661,0.4673679131621268,0.022885628391915224,0.0008366050066591665,true,""
2015Q1,2015-03-31,2016-03-31,20085,150,0.0074682598954443615,0.0038835620849638317,1.923043775805612,0.8375848173229663,0.6751696346459326,0.4951542513167795,0.00702277358032833,0.00003637410267320622,true,""
2015Q2,2015-06-30,2016-06-30,20828,138,0.0066256961782216245,0.003758455058191373,1.7628775855071717,0.8520005463677055,0.704001092735411,0.5192412493608198,0.006251126346228544,0.00002446243238953389,true,""
2015Q3,2015-09-30,2016-09-30,21548,140,0.006497122702803044,0.003841395191745727,1.691344518982026,0.8438008821802263,0.6876017643604526,0.5091594597480248,0.006154727194402533,0.00002042394069648691,true,""
