ltv_band,property_state,n,raw_mean,raw_std,credibility,shrunk_lgd,global_mean
71-80,PA,229,0.6314445109621875,0.3835493701432331,0.8207885304659498,0.6056760460438597,0.48765647671791884
71-80,PR,16,0.7175638629589443,0.24683521721440857,0.24242424242424243,0.5433916006551371,0.48765647671791884
71-80,RI,37,0.5577364527898215,0.2932987828446906,0.42528735632183906,0.5174606044726361,0.48765647671791884
71-80,SC,119,0.4927206421416397,0.3467462675701065,0.7041420118343196,0.49122236834763944,0.48765647671791884
71-80,SD,9,0.6223236041128959,1.211728263511539,0.15254237288135594,0.5081989198798645,0.48765647671791884
71-80,TN,111,0.44798756436969644,0.3282791366808067,0.6894409937888198,0.4603071023660388,0.48765647671791884
71-80,TX,284,0.3045319335804506,0.2728293176460088,0.8502994011976048,0.3319457873435447,0.48765647671791884
71-80,UT,69,0.33939174186778587,0.23216167034124593,0.5798319327731093,0.4016878489476736,0.48765647671791884
71-80,VA,199,0.40723784181954353,0.28429340400261993,0.7991967871485943,0.4233861620802615,0.48765647671791884
71-80,VT,13,0.6115683697680975,0.3644060810680757,0.20634920634920634,0.513225597506051,0.48765647671791884
71-80,WA,216,0.3794459754258672,0.2608741735168213,0.8120300751879699,0.3997862952176063,0.48765647671791884
71-80,WI,170,0.5858373923206207,0.3566627064585724,0.7727272727272727,0.5635235478654612,0.48765647671791884
71-80,WV,30,0.5469960833487632,0.4076922953807108,0.375,0.5099088292044855,0.48765647671791884
71-80,WY,7,0.31322428077255315,0.2586291093426779,0.12280701754385964,0.4662349789702424,0.48765647671791884
81-90,AK,4,0.3314756655415939,0.41942124668351793,0.07407407407407407,0.4760875277418948,0.48765647671791884
81-90,AL,57,0.38557343640575276,0.3724723814631312,0.5327102803738317,0.4332757916918117,0.48765647671791884
81-90,AR,20,0.28404225797831684,0.23363671614256173,0.2857142857142857,0.42948098564946113,0.48765647671791884
81-90,AZ,136,0.38683567178576633,0.2568106448919926,0.7311827956989247,0.4139380387030116,0.48765647671791884
81-90,CA,133,0.32279345538092974,0.2754975179874125,0.726775956284153,0.36783799672983386,0.48765647671791884
81-90,CO,39,0.2215156235328772,0.2626477721478481,0.43820224719101125,0.3710329567829006,0.48765647671791884
81-90,CT,26,0.4651918406369324,0.27179453839805817,0.34210526315789475,0.4799712064796867,0.48765647671791884
81-90,DC,1,0.13598100549060038,,0.0196078431372549,0.48076087924287336,0.48765647671791884
81-90,DE,10,0.49688145423008423,0.3707666013348804,0.16666666666666666,0.4891939729699464,0.48765647671791884
81-90,FL,322,0.49458830427609224,0.30989429536029145,0.8655913978494624,0.49365660702364955,0.48765647671791884
81-90,GA,158,0.3931996139958022,0.29514849501699053,0.7596153846153846,0.4159055906116957,0.48765647671791884
81-90,HI,4,0.8350873934893571,0.36881883814236427,0.07407407407407407,0.5133921001824698,0.48765647671791884
81-90,IA,21,0.4173717388453794,0.31633243891174295,0.29577464788732394,0.46686803312181563,0.48765647671791884
81-90,ID,24,0.3075700269541162,0.27429213760191273,0.32432432432432434,0.42925006057830717,0.48765647671791884
81-90,IL,199,0.6557862078481362,0.42210472566957125,0.7991967871485943,0.6220252176613457,0.48765647671791884
81-90,IN,101,0.5086932164786631,0.3411378765091728,0.6688741721854304,0.501727408610867,0.48765647671791884
81-90,KS,29,0.4617012716130631,0.3587058777733068,0.3670886075949367,0.4781286166161364,0.48765647671791884
81-90,KY,40,0.3081031604205311,0.29480042903994946,0.4444444444444444,0.4078550028079687,0.48765647671791884
81-90,LA,24,0.3638156149817713,0.261758675730819,0.32432432432432434,0.4474918729116007,0.48765647671791884
81-90,MA,22,0.36900583133958276,0.23360492280817474,0.3055555555555556,0.45140211285231613,0.48765647671791884
81-90,MD,40,0.4532452270893269,0.3381601133533511,0.4444444444444444,0.4723625879941002,0.48765647671791884
81-90,ME,16,0.4649102413291146,0.3198044179296079,0.24242424242424243,0.48214223783578447,0.48765647671791884
