model,variant,group,split,n,n_default,observed_rate,expected_rate,observed_over_expected,auc,gini,ks,ks_decile,brier,reliability,resolution,uncertainty,score_psi,psi_band
scorecard,without_delinquency,30_60_dpd,validation_in_time,6702,1420,0.21187705162638018,0.022642443137424986,9.357517222873145,0.5828625387310611,0.16572507746212217,0.12168859426913622,8,0.20117482840273063,0.03791958854217589,0.0033320294855251923,0.16698516662049243,,
scorecard,without_delinquency,all,oot_stress,342603,7446,0.021733610038440994,0.006160844971257656,3.5276995509277294,0.7566661892303725,0.5133323784607451,0.392942322144588,4,0.021217074301574473,0.0003905800004690961,0.00040566410168345037,0.02126126023313797,,
scorecard,without_delinquency,current,oot_stress,336602,4966,0.014753328857226041,0.005941289608677081,2.483186282600874,0.7386355314414442,0.47727106288288845,0.3616155198072047,4,0.014486217378052103,0.00011068973175359233,0.00015594195701712754,0.014535668144856583,,
scorecard,without_delinquency,30_60_dpd,oot_stress,6001,2480,0.4132644559240127,0.01847592148439663,22.367731767696927,0.5090115986110983,0.018023197222196696,0.03602646792058706,8,0.39875746793121547,0.1569796866341678,0.000839438541583906,0.24247694539384249,,
scorecard,without_delinquency,all,oot_benign,536028,5416,0.010103949793667496,0.0031209524730741746,3.237457116325449,0.726665151473707,0.45333030294741405,0.35276250112728996,4,0.010018677475163962,0.00007056954334809617,0.0000693560670690394,0.010001859992234543,,
scorecard,without_delinquency,current,oot_benign,531210,4268,0.00803448730257337,0.00306145894257249,2.624398188342886,0.7086904464751064,0.41738089295021275,0.3280438910354282,4,0.007989520337500626,0.00003487169095543906,0.00003574234136979894,0.007969934316358158,,
scorecard,without_delinquency,30_60_dpd,oot_benign,4818,1148,0.23827314238273142,0.00968042908947102,24.613902976872247,0.5108294012095435,0.02165880241908691,0.05084734498571142,7,0.23374399152625172,0.053908915293950886,0.0014704474006235113,0.18149905200179,,
lightgbm,without_delinquency,all,train,2046874,13513,0.006601774217660687,0.006606272589042286,0.9993190757237204,0.8813646574507955,0.762729314901591,0.6079548805166739,3,0.006325905574123469,9.603944891602785e-7,0.00013739568821656084,0.006558190794839717,,
lightgbm,without_delinquency,current,train,2021101,7996,0.003956259484310779,0.00631749108597568,0.6262390291445532,0.8693817652403909,0.7387635304807818,0.5852023570034587,3,0.003895119675008888,0.000018397364672101442,0.00004432572472361034,0.00394060749520358,,
lightgbm,without_delinquency,30_60_dpd,train,25773,5517,0.21406122686532417,0.02925232018262542,7.317752080139853,0.6737383254358709,0.34747665087174173,0.24805971868941074,6,0.19694647017608596,0.039422728526222056,0.010330774433755711,0.1682390180182364,,
lightgbm,without_delinquency,all,validation_in_time,517080,3497,0.006762976715401872,0.006604876971561095,1.0239368188872426,0.8430362435501251,0.6860724871002502,0.5351736616137204,4,0.006616226034102339,2.555597042358561e-6,0.00009966357085989924,0.006717238861348804,,
lightgbm,without_delinquency,current,validation_in_time,510378,2077,0.0040695327776667485,0.006337775994690877,0.6421073861044909,0.8326051736447522,0.6652103472895043,0.5200358771267288,4,0.004077781818129342,0.000027375886117134165,0.00003276895286535236,0.004052971680638244,,
lightgbm,without_delinquency,30_60_dpd,validation_in_time,6702,1420,0.21187705162638018,0.026945441336387658,7.863187282082376,0.5983958274447899,0.19679165488957984,0.14544773373295433,6,0.19992659339606395,0.036118413329200134,0.0038458471207432334,0.16698516662049243,,
lightgbm,without_delinquency,all,oot_stress,342603,7446,0.021733610038440994,0.0064479748885733195,3.3706102170087355,0.7758486883930859,0.5516973767861717,0.42178759467068483,4,0.021160876148372545,0.00039966124310630255,0.00047929269036983067,0.02126126023313797,,
lightgbm,without_delinquency,current,oot_stress,336602,4966,0.014753328857226041,0.006189377565257127,2.3836530736210046,0.760267799239851,0.520535598479702,0.3987973555545401,4,0.014469240018937917,0.00011326570703637437,0.00019205138902975957,0.014535668144856583,,
lightgbm,without_delinquency,30_60_dpd,oot_stress,6001,2480,0.4132644559240127,0.020952953429296133,19.72344649734161,0.5221014924279209,0.04420298485584184,0.03932934650163536,8,0.39650133681158795,0.15457778452498966,0.0008896420020893924,0.24247694539384249,,
lightgbm,without_delinquency,all,oot_benign,536028,5416,0.010103949793667496,0.0038417959387130334,2.6300068912697707,0.7429520813504266,0.4859041627008531,0.3707107024857259,4,0.010018732864210907,0.0000618769616089683,0.00007920507451429621,0.010001859992234543,,
lightgbm,without_delinquency,current,oot_benign,531210,4268,0.00803448730257337,0.0037681886717261105,2.1321881685114716,0.7301201049384133,0.46024020987682657,0.35277841728503745,4,0.007997934504937399,0.00003167620206874133,0.00004453106069826837,0.007969934316358158,,
lightgbm,without_delinquency,30_60_dpd,oot_benign,4818,1148,0.23827314238273142,0.011957386701710785,19.926857625892524,0.5161331399709481,0.032266279941896236,0.06753790504039722,9,0.23282244735771027,0.05330713059153675,0.0016841840766014652,0.18149905200179,,
