month,cumulative_default,survival,naive_chained
140,0.025064221037059645,0.06228747033503263,0.07085303861613301
141,0.02509690820027111,0.06106456528415256,0.07134063553106351
142,0.02512895360845905,0.05986566982549744,0.07182797656531925
143,0.025160369861355888,0.05869031257290496,0.07231506185318115
144,0.02519116931132044,0.05753803139505195,0.0728018915288593
145,0.02522136406819466,0.05640837323375189,0.07328846572649395
146,0.025250966004065026,0.055300893925819786,0.0737747845801544
147,0.025279986757930455,0.05421515802843447,0.07426084822383994
148,0.02530843774027857,0.05315073864792955,0.0747466567914794
149,0.025336330137572118,0.05210721727194581,0.0752322104169314
150,0.0253636749166473,0.05108418360487893,0.07571750923398424
151,0.025390482829025753,0.05008123540655797,0.07620255337635606
152,0.02541676441514188,0.04909797833409106,0.07668734297769486
153,0.025442530008487174,0.04813402578681623,0.07717187817157833
154,0.025467789739673168,0.047188998754296295,0.07765615909151435
155,0.025492553540414645,0.04626252566729816,0.0781401858709404
156,0.02551683114743461,0.045354242251697825,0.07862395864322425
157,0.025540632106292618,0.04446379138525375,0.07910747754166347
158,0.025563965775137937,0.04359082295719219,0.07959074269948585
159,0.025586841328389013,0.042734993730549356,0.08007375424984897
160,0.0256092677603407,0.04189596720721624,0.08055651232584093
161,0.025631253888700682,0.041073413495633024,0.08103901706047956
162,0.025652808358056434,0.0402670091810811,0.08152126858671338
163,0.02567393964327415,0.039476437198521674,0.08200326703742078
164,0.025694656052830913,0.038701386707930954,0.0824850125454103
165,0.025714965732081454,0.03794155297208292,0.0829665052434213
166,0.02573487666646078,0.037196637236731604,0.08344774526412302
167,0.0257543966846239,0.03646634661314581,0.08392873274011514
168,0.02577353346152395,0.03575039396295,0.0844094678039281
169,0.025792294521429827,0.0350484977852262,0.08488995058802229
170,0.02581068724088464,0.0343603821058324,0.08537018122478901
171,0.025828718851606033,0.03368577636889403,0.08585015984654987
172,0.025846396443329575,0.033024415330425785,0.08632988658555696
173,0.025863726966596334,0.032376038954042036,0.08680936157399322
174,0.025880717235485715,0.03174039230871473,0.08728858494397207
175,0.025897373930294645,0.031117225468538668,0.08776755682753756
176,0.025913703600164158,0.030506293414464748,0.08824627735666457
177,0.025929712665654407,0.029907355937962413,0.08872474666325869
178,0.025945407421269127,0.02932017754657361,0.08920296487915613
179,0.025960794037930536,0.028744527371320966,0.08968093213612416
180,0.02597587856540563,0.028180179075933887,0.09015864856586076
181,0.025990666934684856,0.027626910767856814,0.09063611429999474
182,0.026005164960314093,0.02708450491100468,0.09111332947008599
183,0.026019378342680817,0.026552748240231284,0.09159029420762532
184,0.026033312670255413,0.026031431677476884,0.09206700864403439
185,0.026046973421788473,0.025520350249562136,0.09254347291066611
186,0.026060365968464942,0.025019303007595962,0.09301968713880426
187,0.026073495576015987,0.024528092947965725,0.09349565145966388
188,0.026086367406789393,0.024046526934878618,0.09397136600439104
189,0.02609898652177932,0.023574415624423816,0.09444683090406314
190,0.026111357882616187,0.023111573390125543,0.09492204628968859
191,0.026123486353517533,0.02265781824995775,0.0953970122922072
192,0.026135376703200517,0.022212971794791758,0.09587172904248997
193,0.026147033606756923,0.0217768591182487,0.09634619667133937
194,0.02615846164749132,0.02134930874792917,0.09682041530948893
195,0.02616966531872314,0.02093015257799307,0.09729438508760391
196,0.026180649025553386,0.020519225803063146,0.09776810613628095
197,0.02619141708659664,0.020116366853426184,0.09824157858604776
198,0.026201973735679077,0.019721417331506442,0.0987148025673642
199,0.026212323123503127,0.01933422194958629,0.09918777821062108
200,0.026222469319279476,0.018954628468749627,0.09966050564614115
201,0.026232416312327006,0.018582487639024006,0.10013298500417855
202,0.026242168013641327,0.018217653140697978,0.10060521641491915
203,0.026251728257432525,0.017859981526790573,0.10107720000848075
204,0.026261100802632706,0.017509332166650276,0.10154893591491232
205,0.026270289334373947,0.017165567190661347,0.10202042426419511
206,0.026279297465437234,0.016828551436035743,0.10249166518624175
207,0.02628812873767294,0.016498152393669297,0.10296265881089706
208,0.026296786623393437,0.016174240156041308,0.10343340526793743
209,0.026305274526738334,0.01585668736613702,0.10390390468707134
210,0.026313595785012946,0.015545369167372912,0.10437415719793908
211,0.02632175367000046,0.015240163154505128,0.104844162930113
212,0.026329751389248347,0.01494094932550173,0.1053139220130973
213,0.02633759208732952,0.014647610034359852,0.10578343457632833
214,0.026345278847078723,0.014360029944849207,0.1062527007491747
215,0.026352814690804662,0.014078095985163767,0.10672172066093666
216,0.026360202581478316,0.013801697303463761,0.10719049444084716
217,0.026367445423897937,0.013530725224290547,0.10765902221807078
218,0.02637454606583117,0.013265073205837185,0.10812730412170479
219,0.026381507299134736,0.01300463679805794,0.10859534028077844
220,0.026388331860852165,0.01274931360160022,0.10906313082425334
221,0.026395022434289938,0.012499003227542825,0.10953067588102339
222,0.02640158165007253,0.012253607257924654,0.10999797557991497
223,0.02640801208717673,0.012013029207048366,0.11046503004968666
224,0.026414316273945637,0.01177717448354378,0.11093183941902973
225,0.02642049668908279,0.011545950353176083,0.11139840381656763
226,0.026426555762626727,0.011319265902384247,0.11186472337085651
227,0.026432495876906454,0.011097032002535295,0.11233079821038505
228,0.026438319367478133,0.010879161274880369,0.1127966284635743
229,0.02644402852404338,0.010665568056198836,0.11326221425877814
230,0.026449625591349547,0.010456168365116906,0.11372755572428306
231,0.02645511277007231,0.010250879869087518,0.11419265298830805
232,0.026460492217680952,0.010049621852018532,0.11465750617900505
233,0.026465766049286625,0.009852315182536467,0.1151221154244586
234,0.026470936338474003,0.009658882282873342,0.11558648085268608
235,0.02647600511811656,0.009469247098364357,0.11605060259163769
236,0.026480974381175873,0.00928333506754444,0.11651448076919657
237,0.02648584608148522,0.009101073092831894,0.11697811551317838
238,0.02649062213451779,0.008922389511787617,0.11744150695133226
239,0.026495304418139833,0.008747214068938598,0.11790465521133986
240,0.026499894773348978,0.008575477888154614,0.11836756042081598
241,0.026504395004998117,0.00840711344556725,0.11883022270730859
242,0.026508806882505013,0.008242054543020625,0.11929264219829849
243,0.026513132140548026,0.008080236282043345,0.11975481902119978
244,0.026517372479748152,0.007921595038331484,0.12021675330335946
245,0.026521529567337682,0.0077660684367325495,0.12067844517205795
246,0.026525605037815734,0.007613595326720583,0.12113989475450881
247,0.0265296004935909,0.0074641157583527715,0.12160110217785869
248,0.0265335175056113,0.0073175709586981086,0.1220620675691877
249,0.02653735761398224,0.00717390330872883,0.12252279105550912
250,0.026541122328571778,0.0070330563206655585,0.12298327276376975
251,0.026544813129604352,0.006894974615767221,0.12344351282084964
252,0.0265484314682428,0.0067596039025570355,0.12390351135356215
253,0.026551978767158927,0.0066268909554759855,0.12436326848865442
254,0.026555456421092874,0.006496783593955397,0.12482278435280669
255,0.02655886579740151,0.006369230661900387,0.125282059072633
256,0.02656220823659606,0.0062441820075761255,0.12574109277468093
257,0.026565485052869153,0.006121588463888984,0.1261998855854315
258,0.02656869753461157,0.006001401829054842,0.12665843763129936
259,0.026571846944918792,0.005883574847646925,0.1271167490386329
260,0.026574934522087642,0.005768061192015743,0.12757481993371445
261,0.026577961480103163,0.005654815444073816,0.12803265044275947
262,0.02658092900911593,0.005543793077438016,0.12849024069191772
263,0.02658383827591001,0.005434950439922524,0.12894759080727247
264,0.0265866904243617,0.005328244736375498,0.12940470091484113
265,0.026589486575889314,0.005223634011852721,0.1298615711405745
266,0.026592227829894077,0.005121077135121594,0.1303182016103578
267,0.0265949152641924,0.005020533782489013,0.13077459245000966
268,0.026597549935439672,0.0049219644219467415,0.1312307437852832
269,0.0266001328795457,0.004825330297628077,0.13168665574186533
270,0.026602665112082025,0.004730593414569669,0.13214232844537677
271,0.026605147628681228,0.004637716523772524,0.13259776202137274
272,0.02660758140542839,0.0045466631075563,0.13305295659534233
273,0.026609967399244882,0.004457397365201157,0.13350791229270875
274,0.026612306548264596,0.004369884198871488,0.1339626292388294
275,0.026614599772202818,0.0042840891998160305,0.13441710755899616
276,0.026616847972717843,0.004199978634838901,0.13487134737843465
277,0.026619052033765484,0.004117519433036254,0.1353253488223053
278,0.02662121282194664,0.004036679172793338,0.13577911201570259
279,0.02662333118684802,0.003957426069036853,0.1362326370836553
280,0.02662540796137619,0.003879728960737566,0.13668592415112668
281,0.02662744396208506,0.003803557298658312,0.13713897334301461
282,0.02662943998949694,0.003728881133342526,0.13759178478415102
283,0.02663139682841729,0.003655671103338607,0.13804435859930264
284,0.026633315248243295,0.0035838984236554712,0.13849669491317051
285,0.026635196003266373,0.003513534874444766,0.1389487938503905
286,0.026637039832968758,0.0034445527899052827,0.13940065553553282
287,0.02663884746231425,0.0033769250474052145,0.13985228009310235
288,0.02664061960203326,0.0033106250568179806,0.14030366764753888
289,0.026642356948902254,0.003245626750067421,0.14075481832321646
290,0.02664406018601772,0.0031819045708782532,0.14120573224444433
291,0.026645729983064737,0.003119433464727762,0.1416564095354662
292,0.026647366996580303,0.0030581888689947684,0.14210685032046055
293,0.026648971870211462,0.0029981467033020084,0.14255705472354097
294,0.02665054523496838,0.0029392833600481194,0.14300702286875566
295,0.026652087709472447,0.002881575695125517,0.1434567548800878
296,0.02665359990019951,0.002825001018820509,0.1439062508814556
297,0.026655082401718322,0.0027695370868920694,0.14435551099671207
298,0.02665653579692433,0.002715162091825765,0.14480453534964544
299,0.026657960657268855,0.0026618546542593957,0.14525332406397862
300,0.026659357542983767,0.0026095938145769787,0.14570187726337003
